Sun Jan 23 17:27:45 2022    output.dat

         24747944 function calls (24565425 primitive calls) in 16.254 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       17    0.002    0.000    0.005    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/total_jac.py:548(_create_in_idx_map)
     3901    0.002    0.000    0.009    0.000 <__array_function__ internals>:2(ndim)
     6192    0.002    0.000    0.002    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/compressed.py:107(getnnz)
     3122    0.002    0.000    0.002    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/base.py:66(__init__)
     2732    0.002    0.000    0.002    0.000 {built-in method numpy.zeros}
     7601    0.002    0.000    0.003    0.000 {built-in method builtins.hasattr}
       23    0.002    0.000    0.005    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:4040(_reset_iter_counts)
     1482    0.002    0.000    0.012    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/core/operation.py:5(__init__)
   101/13    0.002    0.000    0.135    0.010 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:2750(_linearize)
     2694    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
    11404    0.002    0.000    0.010    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/recorders/recording_manager.py:201(_get_all_requesters)
     1479    0.002    0.000    0.014    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/core/standard_operation.py:8(__init__)
     1961    0.002    0.000    0.019    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:2792(prod)
     50/3    0.002    0.000    0.445    0.148 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:507(_setup_procs)
      758    0.002    0.000    0.085    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/explicitcomponent.py:422(_compute_partials_wrapper)
