Sun Jan 23 17:07:00 2022    output.dat

         1523460 function calls (1440650 primitive calls) in 2.255 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      795    0.001    0.000    0.006    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/compressed.py:1055(__get_has_canonical_format)
        1    0.001    0.001    0.003    0.003 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:5197(_generate_md5_hash)
     5929    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     4855    0.001    0.000    0.003    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:63(__init__)
   1232/5    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:1583(_setup_driver_units)
      129    0.001    0.000    0.052    0.000 /home/jyan_linux/Downloads/Software/csdl_om/csdl_om/comps/linear_combination.py:24(setup)
      762    0.001    0.000    0.008    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/core/operation.py:5(__init__)
      133    0.001    0.000    0.002    0.000 /usr/lib/python3/dist-packages/numpy/lib/stride_tricks.py:116(_broadcast_to)
     1592    0.001    0.000    0.003    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/sputils.py:91(to_native)
      805    0.001    0.000    0.004    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:1452(_find_partial_matches)
      612    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:1485(_setup_var_data)
       55    0.001    0.000    0.011    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/solvers/solver.py:317(<listcomp>)
    19420    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:72(__iter__)
      761    0.001    0.000    0.009    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/core/standard_operation.py:8(__init__)
     5625    0.001    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/general_utils.py:940(_is_slicer_op)
  4431/55    0.001    0.000    0.001    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/core/model.py:119(build_symbol_table)
     3264    0.001    0.000    0.005    0.000 /usr/lib/python3.8/contextlib.py:108(__enter__)
