Sun Jan 23 17:07:00 2022    output.dat

         1523460 function calls (1440650 primitive calls) in 2.255 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1540    0.000    0.000    0.000    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:4498(<genexpr>)
     1533    0.000    0.000    0.001    0.000 /usr/lib/python3.8/sre_parse.py:254(get)
     1504    0.004    0.000    0.008    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/default_transfer.py:240(_transfer)
     1452    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:172(append)
     1445    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/options_dictionary.py:52(__init__)
     1443    0.000    0.000    0.000    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/vector.py:293(_contains_abs)
     1437    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/numpy/core/_asarray.py:88(asanyarray)
     1425    0.000    0.000    0.000    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/core/node.py:174(incr_times_visited)
     1417    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/name_maps.py:164(name2abs_names)
     1399    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/array_utils.py:14(shape_to_len)
     1399    0.005    0.000    0.016    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/general_utils.py:130(ensure_compatible)
     1399    0.002    0.000    0.005    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:260(<dictcomp>)
     1399    0.000    0.000    0.000    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:884(_var_added)
     1392    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/general_utils.py:770(make_set)
     1392    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:30(_valid_var_name)
     1390    0.002    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/networkx/classes/digraph.py:378(add_node)
     1387    0.000    0.000    0.000    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/units.py:1109(simplify_unit)
     1387    0.003    0.000    0.004    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:4191(_abs_get_val)
     1387    0.002    0.000    0.013    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:4350(get_val)
     1378    0.001    0.000    0.203    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/visualization/n2_viewer/n2_viewer.py:64(_convert_ndarray_to_support_nans_in_json)
     1378    0.006    0.000    0.224    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/visualization/n2_viewer/n2_viewer.py:85(_get_var_dict)
     1371    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
     1371    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     1371    0.000    0.000    0.001    0.000 /usr/lib/python3.8/re.py:270(escape)
     1363    0.001    0.000    0.001    0.000 {built-in method numpy.zeros}
     1359    0.000    0.000    0.000    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/networkx/classes/graph.py:406(__contains__)
     1343    0.000    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/networkx/classes/reportviews.py:715(<genexpr>)
     1291    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/recorders/recording_iteration_stack.py:74(push)
     1291    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/recorders/recording_iteration_stack.py:87(pop)
     1288    0.002    0.000    0.003    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/recorders/recording_iteration_stack.py:127(__init__)
     1288    0.001    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/recorders/recording_iteration_stack.py:149(__enter__)
     1288    0.002    0.000    0.003    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/recorders/recording_iteration_stack.py:161(__exit__)
     1275    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:522(msginfo)
   1232/5    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:1583(_setup_driver_units)
     1232    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:3969(record_iteration)
     1230    0.001    0.000    0.005    0.000 /usr/lib/python3/dist-packages/numpy/core/numeric.py:290(full)
     1216    0.000    0.000    0.000    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:1050(<dictcomp>)
     1216    0.000    0.000    0.000    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:1847(split_list)
     1216    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:1949(<dictcomp>)
     1216    0.000    0.000    0.000    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:1973(<genexpr>)
     1197    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/class_util.py:6(overrides_method)
     1183    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:351(_run_root_only)
     1177    0.003    0.000    0.039    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/explicitcomponent.py:240(_compute_wrapper)
     1177    0.004    0.000    0.057    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/explicitcomponent.py:279(_solve_nonlinear)
     1162    0.000    0.000    0.000    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/transfer.py:18(__init__)
     1158    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
     1158    0.000    0.000    0.000    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/networkx/classes/graph.py:1894(bunch_iter)
     1012    0.002    0.000    0.002    0.000 {method 'copy' of 'numpy.ndarray' objects}
      982    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:2787(_prod_dispatcher)
      982    0.001    0.000    0.010    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:2792(prod)
      982    0.001    0.000    0.011    0.000 <__array_function__ internals>:2(prod)
      971    0.002    0.000    0.002    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/core/operation.py:28(add_dependency_node)
      934    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/core/shape_base.py:20(_atleast_1d_dispatcher)
      934    0.001    0.000    0.002    0.000 /usr/lib/python3/dist-packages/numpy/core/shape_base.py:24(atleast_1d)
      934    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(atleast_1d)
      903    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      902    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      890    0.000    0.000    0.001    0.000 {method 'intersection' of 'frozenset' objects}
      890    0.001    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:2078(_matvec_context)
      883    0.001    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/default_vector.py:226(__imul__)
      869    0.003    0.000    0.008    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/utils/get_shape_val.py:6(get_shape_val)
      859    0.002    0.000    0.014    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/core/variable.py:28(__init__)
      837    0.009    0.000    0.145    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:994(declare_partials)
      829    0.000    0.000    0.000    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:2230(nonlinear_solver)
      820    0.000    0.000    0.000    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/options_dictionary.py:404(undeclare)
      815    0.000    0.000    0.000    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:2244(linear_solver)
      806    0.000    0.000    0.000    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/base.py:1188(isspmatrix)
      805    0.000    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/name_maps.py:42(rel_key2abs_key)
      805    0.000    0.000    0.000    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:1370(<dictcomp>)
      805    0.009    0.000    0.025    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:1308(_declare_partials)
      805    0.000    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:1477(<listcomp>)
      805    0.000    0.000    0.000    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:1478(<listcomp>)
      805    0.001    0.000    0.004    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:1452(_find_partial_matches)
      805    0.000    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:1481(_check_partials_meta)
      804    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:2982(_ndim_dispatcher)
      804    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:2986(ndim)
      804    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(ndim)
      800    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/explicitcomponent.py:56(_get_partials_varlists)
      800    0.001    0.000    0.002    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/sputils.py:186(isintlike)
      797    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      797    0.003    0.000    0.006    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/compressed.py:1140(prune)
  797/795    0.004    0.000    0.041    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/compressed.py:27(__init__)
      797    0.008    0.000    0.023    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/compressed.py:135(check_format)
      796    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      796    0.000    0.000    0.000    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/data.py:23(_get_dtype)
      796    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(parent)
      795    0.007    0.000    0.073    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/coo.py:330(tocsc)
